ID_RECORD;date_time;latitude;longitude;cluster
77;2014-02-01 00:00:22.754134;41.906836624257295;12.4465227965266;-1
78;2014-02-01 00:00:23.490170;41.9004122222972;12.472836865927801;1
79;2014-02-01 00:00:23.499790;41.8957895596184;12.471920420915302;1
80;2014-02-01 00:00:23.866840;41.891403333333294;12.474626666666698;1
81;2014-02-01 00:00:24.045560;41.89724633;12.47285075;1
82;2014-02-01 00:00:24.230733;41.884861232788;12.470642809741001;-1
83;2014-02-01 00:00:24.328023;41.8453117623572;12.5945532574323;-1
84;2014-02-01 00:00:24.512062;41.8929914804175;12.471221163868899;1
85;2014-02-01 00:00:24.654386;41.933189951603104;12.511784704856801;-1
86;2014-02-01 00:00:25.462468;41.899641043205705;12.4618550005358;-1
87;2014-02-01 00:00:25.632406;41.7904902001173;12.2506423858324;-1
